City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Batemans Bay,AU,-35.72,150.18,60.01,69,20,11.99,few clouds
298,Jaguarari,BR,-10.26,-40.2,67.32,59,92,7.2,overcast clouds
299,Lorengau,PG,-2.02,147.27,85.91,66,62,7.96,broken clouds
300,Yeppoon,AU,-23.13,150.73,77.0,16,13,13.87,few clouds
301,Chadiza,ZM,-14.07,32.44,64.9,48,1,5.88,clear sky
302,Bristol,US,41.83,-71.17,69.01,88,40,4.45,scattered clouds
303,Mahon,ES,39.89,4.27,75.2,88,0,5.82,clear sky
304,Sechura,PE,-5.56,-80.82,63.7,73,54,16.35,broken clouds
305,Ferrol,ES,43.48,-8.24,66.0,100,90,3.36,overcast clouds
306,Campobasso,IT,41.63,14.58,73.0,77,24,2.37,few clouds
307,Kincardine,GB,56.07,-3.72,63.0,93,90,6.93,light rain
308,Denpasar,ID,-8.65,115.22,78.8,83,75,14.99,broken clouds
309,Mandalay,MM,21.97,96.08,78.8,83,75,8.05,broken clouds
310,Inzer,RU,54.22,57.56,46.35,91,100,5.88,light rain
311,Agua Verde,MX,22.9,-106.05,87.01,70,90,4.7,overcast clouds
312,Acari,PE,-15.43,-74.62,59.76,70,65,5.53,broken clouds
313,Dwarka,IN,22.24,68.97,82.56,84,88,17.6,light rain
314,Abu Kamal,SY,34.45,40.92,77.95,35,0,9.89,clear sky
315,Qasigiannguit,GL,68.82,-51.19,51.8,40,15,2.24,few clouds
316,Bembereke,BJ,10.23,2.66,70.36,99,67,4.88,broken clouds
317,Sao Filipe,CV,14.9,-24.5,77.47,79,44,12.8,scattered clouds
318,Katsuura,JP,35.13,140.3,88.0,70,20,11.41,few clouds
319,Bulgan,MN,48.81,103.53,60.66,80,99,2.42,overcast clouds
320,Labuhan,ID,-6.88,112.21,77.99,78,95,6.13,overcast clouds
321,Mandalgovi,MN,45.76,106.27,58.5,45,7,17.09,clear sky
322,Progreso,MX,21.28,-89.67,79.0,88,75,8.43,broken clouds
323,Kamuli,UG,0.95,33.12,64.51,81,72,0.54,broken clouds
324,Yar-Sale,RU,66.83,70.83,53.29,74,76,12.55,broken clouds
325,Fairbanks,US,64.84,-147.72,72.0,52,40,4.7,scattered clouds
326,Kruisfontein,ZA,-34.0,24.73,45.46,74,18,8.12,few clouds
327,Mbandaka,CD,0.05,18.26,72.84,86,92,1.57,overcast clouds
328,Birao,CF,10.28,22.79,69.82,93,100,3.04,overcast clouds
329,Muniz Freire,BR,-20.46,-41.41,64.81,78,0,5.39,clear sky
330,Khorixas,NA,-20.37,14.97,57.49,27,0,15.79,clear sky
331,Launceston,AU,-41.45,147.17,53.01,81,27,8.05,scattered clouds
332,Synya,RU,65.37,58.04,50.58,96,78,5.64,broken clouds
333,Arlit,NE,18.74,7.39,93.7,11,1,7.02,clear sky
334,Te Anau,NZ,-45.42,167.72,49.08,81,98,0.6,overcast clouds
335,Tevriz,RU,57.51,72.4,50.54,94,49,5.66,scattered clouds
336,Timmins,CA,48.47,-81.33,59.0,82,90,3.36,overcast clouds
337,Along,IN,28.17,94.77,71.42,83,4,1.68,clear sky
338,Porbandar,IN,21.64,69.61,81.95,84,90,17.85,overcast clouds
339,Hovd,MN,48.01,91.64,63.9,45,100,1.05,overcast clouds
340,Faya,SA,18.39,42.45,71.6,56,67,1.81,broken clouds
341,Beringovskiy,RU,63.05,179.32,57.83,51,87,9.42,overcast clouds
342,Qinhuangdao,CN,39.93,119.59,69.46,61,100,15.08,overcast clouds
343,Sabha,LY,27.04,14.43,88.32,18,31,11.25,scattered clouds
344,Marzuq,YE,14.4,46.47,81.88,39,98,7.18,overcast clouds
345,Zyryanka,RU,65.75,150.85,48.88,54,82,16.49,broken clouds
346,Hamamatsu,JP,34.7,137.73,89.01,81,100,3.0,overcast clouds
347,Inuvik,CA,68.35,-133.72,66.2,52,40,5.82,scattered clouds
348,Shimoda,JP,34.67,138.95,86.0,74,20,10.29,few clouds
349,Hatillo,PR,18.49,-66.83,84.99,85,59,1.01,broken clouds
350,Parrita,CR,9.52,-84.32,69.8,100,75,6.93,light rain
351,Walvis Bay,NA,-22.96,14.51,64.4,12,0,17.22,clear sky
352,Paita,PE,-5.09,-81.11,62.37,80,49,17.67,scattered clouds
353,Torres,BR,-29.34,-49.73,56.3,77,100,18.1,overcast clouds
354,Bien Hoa,VN,10.95,106.82,77.0,100,75,2.24,broken clouds
355,Pemangkat,ID,1.17,108.97,78.37,85,73,4.74,broken clouds
356,Chapais,CA,49.78,-74.85,53.6,76,90,6.93,overcast clouds
357,College,US,64.86,-147.8,72.0,53,75,3.36,broken clouds
358,Missoula,US,47.02,-113.8,89.6,29,20,5.82,few clouds
359,Paragominas,BR,-2.97,-47.48,77.0,61,52,3.71,broken clouds
360,Chimbote,PE,-9.09,-78.58,60.84,84,37,9.31,scattered clouds
361,Iranshahr,IR,27.2,60.68,93.2,38,36,3.71,scattered clouds
362,Umm Kaddadah,SD,13.6,26.69,78.66,73,89,10.96,overcast clouds
